,zpid,id,rawHomeStatusCd,marketingStatusSimplifiedCd,providerListingId,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,area,latitude,longitude,isZillowOwned,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,availabilityDate
274,2055707569,2055707569,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/7106-127th-Ave-NW-Edmonton-AB-T5C-1R5/2055707569_zpid/,FOR_SALE,Townhouse for sale,C$,"C$279,900",279900,"7106 127th Ave NW, Edmonton, AB T5C 1R5",7106 127th Ave NW,Edmonton,AB,T5C1R5,False,3,3,1238.0,53.585197,-113.45106,False,False,False,ForSale,For Sale (Broker),False,
275,349790060,349790060,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/11309-69th-St-NW-Edmonton-AB-T5B-1R8/349790060_zpid/,FOR_SALE,House for sale,C$,"C$415,000",415000,"11309 69th St NW, Edmonton, AB T5B 1R8",11309 69th St NW,Edmonton,AB,T5B1R8,False,3,2,1337.0,53.56539,-113.44441,False,False,False,ForSale,For Sale (Broker),False,
276,2061137287,2061137287,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/5343-112th-Ave-NW-Edmonton-AB-T5W-0N6/2061137287_zpid/,FOR_SALE,House for sale,C$,"C$498,000",498000,"5343 112th Ave NW, Edmonton, AB T5W 0N6",5343 112th Ave NW,Edmonton,AB,T5W0N6,False,4,2,889.0,53.567055,-113.425095,False,False,False,ForSale,For Sale (Broker),False,
277,350255302,350255302,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/227-Hollinger-Close-NW-Edmonton-AB-T5A-5E8/350255302_zpid/,FOR_SALE,House for sale,C$,"C$464,888",464888,"227 Hollinger Close NW, Edmonton, AB T5A 5E8",227 Hollinger Close NW,Edmonton,AB,T5A5E8,False,5,3,1173.0,53.582718,-113.38604,False,False,False,ForSale,For Sale (Broker),False,
278,346735620,346735620,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/107-Steele-Cres-NW-Edmonton-AB-T5A-1G4/346735620_zpid/,FOR_SALE,House for sale,C$,"C$449,000",449000,"107 Steele Cres NW, Edmonton, AB T5A 1G4",107 Steele Cres NW,Edmonton,AB,T5A1G4,False,5,2,1064.0,53.606228,-113.42199,False,False,False,ForSale,For Sale (Broker),False,
279,349881091,349881091,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/15715-83rd-St-NW-Edmonton-AB-T5Z-2P6/349881091_zpid/,FOR_SALE,House for sale,C$,"C$409,900",409900,"15715 83rd St NW, Edmonton, AB T5Z 2P6",15715 83rd St NW,Edmonton,AB,T5Z2P6,False,4,3,1658.0,53.618233,-113.46827,False,False,False,ForSale,For Sale (Broker),False,
280,2065211541,2065211541,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/8807-152b-Ave-NW-Edmonton-AB-T5E-6G1/2065211541_zpid/,FOR_SALE,House for sale,C$,"C$349,000",349000,"8807 152b Ave NW, Edmonton, AB T5E 6G1",8807 152b Ave NW,Edmonton,AB,T5E6G1,False,3,2,1038.0,53.61429,-113.476456,False,False,False,ForSale,For Sale (Broker),False,
281,349762010,349762010,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/11851-91st-St-NW-Edmonton-AB-T5B-4B4/349762010_zpid/,FOR_SALE,House for sale,C$,"C$298,000",298000,"11851 91st St NW, Edmonton, AB T5B 4B4",11851 91st St NW,Edmonton,AB,T5B4B4,False,4,2,902.0,53.571667,-113.4811,False,False,False,ForSale,For Sale (Broker),False,
282,2057317977,2057317977,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/9612-120th-Ave-NW-Edmonton-AB-T5G-0R9/2057317977_zpid/,FOR_SALE,Multi-family home for sale,C$,"C$353,000",353000,"9612 120th Ave NW, Edmonton, AB T5G 0R9",9612 120th Ave NW,Edmonton,AB,T5G0R9,False,4,3,1191.0,53.573296,-113.49076,False,False,False,ForSale,For Sale (Broker),False,
283,2055101761,2055101761,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/14540-20th-St-NW-Edmonton-AB-T5Y-1V7/2055101761_zpid/,FOR_SALE,House for sale,C$,"C$289,900",289900,"14540 20th St NW, Edmonton, AB T5Y 1V7",14540 20th St NW,Edmonton,AB,T5Y1V7,False,5,3,1023.0,53.608498,-113.37247,False,False,False,ForSale,For Sale (Broker),False,
284,2073517927,2073517927,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/16411-73rd-St-NW-Edmonton-AB-T5Z-3Y3/2073517927_zpid/,FOR_SALE,House for sale,C$,"C$899,900",899900,"16411 73rd St NW, Edmonton, AB T5Z 3Y3",16411 73rd St NW,Edmonton,AB,T5Z3Y3,False,5,4,3225.0,53.625893,-113.45432,False,False,False,ForSale,For Sale (Broker),False,
285,2057118822,2057118822,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/416-Hollick-Kenyon-Rd-NW-Edmonton-AB-T5Y-2T9/2057118822_zpid/,FOR_SALE,House for sale,C$,"C$565,000",565000,"416 Hollick Kenyon Rd NW, Edmonton, AB T5Y 2T9",416 Hollick Kenyon Rd NW,Edmonton,AB,T5Y2T9,False,4,4,2211.0,53.623478,-113.423004,False,False,False,ForSale,For Sale (Broker),False,
286,2064024410,2064024410,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/3923-164th-Ave-NW-Edmonton-AB-T5Y-0M6/2064024410_zpid/,FOR_SALE,House for sale,C$,"C$675,000",675000,"3923 164th Ave NW, Edmonton, AB T5Y 0M6",3923 164th Ave NW,Edmonton,AB,T5Y0M6,False,5,4,2234.0,53.625633,-113.40311,False,False,False,ForSale,For Sale (Broker),False,
287,2078673961,2078673961,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/600-Kirkness-Rd-NW-411-Edmonton-AB-T5Y-2H5/2078673961_zpid/,FOR_SALE,Apartment for sale,C$,"C$129,900",129900,"600 Kirkness Rd NW #411, Edmonton, AB T5Y 2H5",600 Kirkness Rd NW #411,Edmonton,AB,T5Y2H5,False,2,2,1172.0,53.610264,-113.38821,False,False,False,ForSale,For Sale (Broker),False,
288,349932668,349932668,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/460-Huffman-Cres-NW-Edmonton-AB-T5A-4E6/349932668_zpid/,FOR_SALE,House for sale,C$,"C$449,900",449900,"460 Huffman Cres NW, Edmonton, AB T5A 4E6",460 Huffman Cres NW,Edmonton,AB,T5A4E6,False,4,4,1947.0,53.580112,-113.38956,False,False,False,ForSale,For Sale (Broker),False,
289,345330289,345330289,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/8707-130a-Ave-NW-Edmonton-AB-T5E-0V5/345330289_zpid/,FOR_SALE,House for sale,C$,"C$399,900",399900,"8707 130a Ave NW, Edmonton, AB T5E 0V5",8707 130a Ave NW,Edmonton,AB,T5E0V5,False,5,2,1048.0,53.58983,-113.47466,False,False,False,ForSale,For Sale (Broker),False,
290,2070435877,2070435877,ForSale,For Sale by Agent,,https://www.zillow.com/homedetails/11950-77th-St-NW-Edmonton-AB-T5B-2G4/2070435877_zpid/,FOR_SALE,House for sale,C$,"C$189,800",189800,"11950 77th St NW, Edmonton, AB T5B 2G4",11950 77th St NW,Edmonton,AB,T5B2G4,False,2,1,698.0,53.573456,-113.46002,False,False,False,ForSale,For Sale (Broker),False,
