,zpid,id,rawHomeStatusCd,marketingStatusSimplifiedCd,providerListingId,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,area,latitude,longitude,isZillowOwned,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,availabilityDate
90,2062436780,2062436780,ForRent,For Rent,37u4zyajfxe3c,https://www.zillow.com/homedetails/9310-74th-Ave-NW-Edmonton-AB-T6E-1E2/2062436780_zpid/,FOR_RENT,House for rent,C$,"C$1,150/mo",1150.0,"9310 74th Ave NW, Edmonton, AB T6E 1E2",9310 74th Ave NW,Edmonton,AB,T6E1E2,False,2.0,1.0,750.0,53.510654,-113.47097,False,False,False,ForRent,For Rent,False,2024-05-22 00:00:00
91,2079698311,2079698311,ForRent,For Rent,1y5gw9xjn54ne,https://www.zillow.com/homedetails/12008-101st-St-NW-Edmonton-AB-T5G-2C1/2079698311_zpid/,FOR_RENT,Apartment for rent,C$,"C$1,600/mo",1600.0,"12008 101st St NW, Edmonton, AB T5G 2C1",12008 101st St NW,Edmonton,AB,T5G2C1,False,3.0,1.0,1000.0,53.573856,-113.49424,False,False,False,ForRent,For Rent,False,2024-06-15 00:00:00
92,2054365793,2054365793,ForRent,For Rent,1nw2gfexzb6sh,https://www.zillow.com/homedetails/864-Secord-Blvd-NW-303-Edmonton-AB-T5T-7R9/2054365793_zpid/,FOR_RENT,House for rent,C$,"C$1,600/mo",1600.0,"864 Secord Blvd NW #303, Edmonton, AB T5T 7R9",864 Secord Blvd NW #303,Edmonton,AB,T5T7R9,False,2.0,2.0,,53.526836,-113.70604,False,False,False,ForRent,For Rent,False,
93,348992643,348992643,ForRent,For Rent,1gfygvdxt55g5,https://www.zillow.com/homedetails/2922-Coughlan-Grn-SW-Edmonton-AB-T6W-4B2/348992643_zpid/,FOR_RENT,House for rent,C$,"C$2,300/mo",2300.0,"2922 Coughlan Grn SW, Edmonton, AB T6W 4B2",2922 Coughlan Grn SW,Edmonton,AB,T6W4B2,False,3.0,2.5,,53.407883,-113.580765,False,False,False,ForRent,For Rent,False,
94,348707338,348707338,ForRent,For Rent,wed56n9nt4dq,https://www.zillow.com/homedetails/3112-Challand-Ln-SW-Edmonton-AB-T6W-4N7/348707338_zpid/,FOR_RENT,House for rent,C$,"C$2,245/mo",2245.0,"3112 Challand Ln SW, Edmonton, AB T6W 4N7",3112 Challand Ln SW,Edmonton,AB,T6W4N7,False,3.0,2.5,1425.0,53.408733,-113.58163,False,False,False,ForRent,For Rent,False,
95,2056036153,2056036153,ForRent,For Rent,56xx5gsvhum3j,https://www.zillow.com/homedetails/10629-114th-St-NW-Edmonton-AB-T5H-3J8/2056036153_zpid/,FOR_RENT,Apartment for rent,C$,"C$1,100/mo",1100.0,"10629 114th St NW, Edmonton, AB T5H 3J8",10629 114th St NW,Edmonton,AB,T5H3J8,False,1.0,1.0,,53.550583,-113.51718,False,False,False,ForRent,For Rent,False,2024-05-01 00:00:00
96,349932967,349932967,ForRent,For Rent,r6g7d6u1kw5a,https://www.zillow.com/homedetails/104th-St-NW-11943-Edmonton-AB-T6H-2K9/349932967_zpid/,FOR_RENT,Apartment for rent,C$,C$975/mo,975.0,"104th St NW #11943, Edmonton, AB T6H 2K9",104th St NW #11943,Edmonton,AB,T6H2K9,False,1.0,1.0,,53.500618,-113.49807,False,False,False,ForRent,For Rent,False,2024-05-13 00:00:00
97,2055670525,2055670525,ForRent,For Rent,361zk74c7w5jp,https://www.zillow.com/homedetails/8719-110th-St-NW-2A-Edmonton-AB-T6G-0X7/2055670525_zpid/,FOR_RENT,Apartment for rent,C$,"C$1,200/mo",1200.0,"8719 110th St NW #2A, Edmonton, AB T6G 0X7",8719 110th St NW #2A,Edmonton,AB,T6G0X7,False,1.0,1.0,,53.523643,-113.51482,False,False,False,ForRent,For Rent,False,
98,2064195750,2064195750,ForRent,For Rent,3v2ravta2xy95,https://www.zillow.com/homedetails/12023-167a-Ave-NW-Edmonton-AB-T5X-0G5/2064195750_zpid/,FOR_RENT,House for rent,C$,"C$1,975/mo",1975.0,"12023 167a Ave NW, Edmonton, AB T5X 0G5",12023 167a Ave NW,Edmonton,AB,T5X0G5,False,3.0,2.5,1380.0,53.629246,-113.53019,False,False,False,ForRent,For Rent,False,2024-07-01 00:00:00
99,2061255350,2061255350,ForRent,For Rent,1drtydsr0wjrv,https://www.zillow.com/homedetails/3864-Chrustawka-Pl-SW-Edmonton-AB-T6W-4M8/2061255350_zpid/,FOR_RENT,House for rent,C$,"C$1,175/mo",1175.0,"3864 Chrustawka Pl SW, Edmonton, AB T6W 4M8",3864 Chrustawka Pl SW,Edmonton,AB,T6W4M8,False,1.0,1.0,699.0,53.415356,-113.557236,False,False,False,ForRent,For Rent,False,
100,2079699447,2079699447,ForRent,For Rent,41e8apxn1acx0,https://www.zillow.com/homedetails/17104-75th-Ave-NW-Edmonton-AB-T5T-2R4/2079699447_zpid/,FOR_RENT,Townhouse for rent,C$,"C$1,479/mo",1479.0,"17104 75th Ave NW, Edmonton, AB T5T 2R4",17104 75th Ave NW,Edmonton,AB,T5T2R4,False,1.0,1.0,1017.0,53.507458,-113.61818,False,False,False,ForRent,For Rent,False,2024-06-14 00:00:00
101,53.556034--113.5016,53.556034--113.5016,,,4rv84uy3jg78e,https://www.zillow.com/b/alex-manor-edmonton-ab-BfdSDs/,FOR_RENT,Alex Manor,,,,"10940 105th St NW, Edmonton, AB",10940 105th St NW # 9,Edmonton,AB,T5H2X4,,,,,53.556034,-113.5016,,,,,,,
102,344698304,344698304,ForRent,For Rent,11qs9qn1ur6zk,https://www.zillow.com/homedetails/3913-115a-St-NW-Edmonton-AB-T6J-1R2/344698304_zpid/,FOR_RENT,House for rent,C$,"C$1,799/mo",1799.0,"3913 115a St NW, Edmonton, AB T6J 1R2",3913 115a St NW,Edmonton,AB,T6J1R2,False,3.0,1.0,1036.0,53.475464,-113.53169,False,False,False,ForRent,For Rent,False,2024-05-14 00:00:00
103,2079696297,2079696297,ForRent,For Rent,1aq3p8fg8s7pf,https://www.zillow.com/homedetails/46th-St-NW-1686-Edmonton-AB-T6L-4A7/2079696297_zpid/,FOR_RENT,House for rent,C$,"C$1,700/mo",1700.0,"46th St NW #1686, Edmonton, AB T6L 4A7",46th St NW #1686,Edmonton,AB,T6L4A7,False,2.0,1.5,1100.0,53.438877,-113.41025,False,False,False,ForRent,For Rent,False,2024-05-01 00:00:00
104,2059932694,2059932694,ForRent,For Rent,14yge2a54tcc,https://www.zillow.com/homedetails/7111-80th-Ave-NW-102-Edmonton-AB-T6B-0C7/2059932694_zpid/,FOR_RENT,House for rent,C$,"C$1,175/mo",1175.0,"7111 80th Ave NW #102, Edmonton, AB T6B 0C7",7111 80th Ave NW #102,Edmonton,AB,T6B0C7,False,1.0,1.0,593.0,53.51646,-113.4373,False,False,False,ForRent,For Rent,False,
105,2071221620,2071221620,ForRent,For Rent,25upukeben1ns,https://www.zillow.com/homedetails/2907-68th-St-NW-Edmonton-AB-T6K-1N5/2071221620_zpid/,FOR_RENT,Apartment for rent,C$,"C$1,800/mo",1800.0,"2907 68th St NW, Edmonton, AB T6K 1N5",2907 68th St NW,Edmonton,AB,T6K1N5,False,3.0,1.5,1200.0,53.46047,-113.4377,False,False,False,ForRent,For Rent,False,
106,2054962696,2054962696,ForRent,For Rent,59gkcphzk2waa,https://www.zillow.com/homedetails/12936-118th-Ave-NW-Edmonton-AB-T5L-2L4/2054962696_zpid/,FOR_RENT,Apartment for rent,C$,C$950/mo,950.0,"12936 118th Ave NW, Edmonton, AB T5L 2L4",12936 118th Ave NW,Edmonton,AB,T5L2L4,False,1.0,1.0,,53.570732,-113.54692,False,False,False,ForRent,For Rent,False,
107,53.52825--113.637596,53.52825--113.637596,,,2sg5rq0rmk8z9,https://www.zillow.com/b/secord-grove-estates-edmonton-ab-BvZncW/,FOR_RENT,Secord Grove Estates,,,,"21750 93rd Ave NW, Edmonton, AB",21750 93rd Ave NW # 50,Edmonton,AB,T5T7S5,,,,,53.52825,-113.637596,,,,,,,
108,2068765843,2068765843,ForRent,For Rent,zpcrybwx80qp,https://www.zillow.com/homedetails/10640-111th-St-NW-Edmonton-AB-T5H-3E9/2068765843_zpid/,FOR_RENT,Apartment for rent,C$,C$900/mo,900.0,"10640 111th St NW, Edmonton, AB T5H 3E9",10640 111th St NW,Edmonton,AB,T5H3E9,False,1.0,1.0,700.0,53.550888,-113.51264,False,False,False,ForRent,For Rent,False,2024-05-22 00:00:00
109,2079700623,2079700623,ForRent,For Rent,2brt3fc4718dx,https://www.zillow.com/homedetails/12955-101st-St-NW-Edmonton-AB-T5E-4E8/2079700623_zpid/,FOR_RENT,Apartment for rent,C$,"C$1,295/mo",1295.0,"12955 101st St NW, Edmonton, AB T5E 4E8",12955 101st St NW,Edmonton,AB,T5E4E8,False,2.0,1.0,,53.588993,-113.4932,False,False,False,ForRent,For Rent,False,
110,2064085969,2064085969,ForRent,For Rent,3q319sp3jg87c,https://www.zillow.com/homedetails/1941-118th-St-SW-Edmonton-AB-T6W-2E4/2064085969_zpid/,FOR_RENT,House for rent,C$,"C$2,295/mo",2295.0,"1941 118th St SW, Edmonton, AB T6W 2E4",1941 118th St SW,Edmonton,AB,T6W2E4,False,3.0,2.5,1428.0,53.41212,-113.52671,False,False,False,ForRent,For Rent,False,
111,53.55048--113.50528,53.55048--113.50528,,,3buym08gc6g5c,https://www.zillow.com/b/madison-arms-edmonton-ab-BfdSLx/,FOR_RENT,Madison Arms,,,,"10620 107th St NW, Edmonton, AB",10620 107th St NW # 4,Edmonton,AB,T5H2Y7,,,,,53.55048,-113.50528,,,,,,,
112,2067033595,2067033595,ForRent,For Rent,55uu8661h7wnt,https://www.zillow.com/homedetails/8082-Kiriak-Line-SW-Edmonton-AB-T6W-4V2/2067033595_zpid/,FOR_RENT,House for rent,C$,"C$2,995/mo",2995.0,"8082 Kiriak Line SW, Edmonton, AB T6W 4V2",8082 Kiriak Line SW,Edmonton,AB,T6W4V2,False,4.0,3.5,1808.0,53.411964,-113.63534,False,False,False,ForRent,For Rent,False,
